"Action","Receipt Date","Type","Application Number","Bank Name","Branch Name","Branch Address","City","State","County"
"Receipt",2020-05-26,"Subsidiaries & Equities","2020-NE-Subs&Equities-314651","Home Loan Inv Bk FSB"," "," "," "," "," "
"Consummated/Effective",2020-05-26,"Branch Closings","2020-LB-BranchClosing-313377","JPMorgan Chase Bank, NA","Avenue U at Bedford Avenue","2512 AVENUE U","BROOKLYN","NY","Kings"
"Receipt",2020-05-26,"Branch Closings","2020-LB-BranchClosing-314656","JPMorgan Chase Bank, NA","East Gresham Fred Meyer","2475 SE BURNSIDE RD","GRESHAM","OR","Multnomah"
"Consummated/Effective",2020-05-26,"Branch Establishment","2019-LB-BranchNew-309112","JPMorgan Chase Bank, NA","Fort Lauderdale Downtown","720 E Broward Blvd","Fort Lauderdale","FL","Broward"
"Consummated/Effective",2020-05-26,"Branch Establishment","2019-LB-BranchNew-312154","Bank of America, NA","Greenwood","649 South State Road 135","Greenwood","IN","Johnson"
"Consummated/Effective",2020-05-26,"Branch Closings","2020-LB-BranchClosing-313646","U.S. Bank NA","Kenton Office","111 EAST COLUMBUS STREET","KENTON","OH","Hardin"
"Receipt",2020-05-26,"Branch Establishment","2020-LB-BranchNew-314278","Fifth Third Bank, NA","Midtown BC","1715 West End Avenue","Nashville","TN","Davidson"
"Consummated/Effective",2020-05-26,"Branch Establishment","2020-LB-BranchNew-313441","Bank of America, NA","University and Sunrise","455 University Blvd, STE 700","Round Rock","TX","Williamson"
"Approved",2020-05-26,"Branch Establishment","2020-LB-BranchNew-314315","Bank of America, NA","Valley Fair Mall","3601 South 2700 West, Ste G128","West Valley City","UT","Salt Lake"
"Receipt",2020-05-27,"Branch Closings","2020-LB-BranchClosing-314674","JPMorgan Chase Bank, NA","91st Avenue & Union Hills Banking Center","8978 WEST UNION HILLS DRIVE, SUITE 106","PEORIA","AZ","Maricopa"
"Approved",2020-05-27,"Relocation","2020-LB-Relocation-314446","Citizens Bank, NA","Abington","1359 Old York Roads","Abington","PA","Montgomery"
